Turtle,Site,Date,Time,Sex,SCL,SCW,PL,PW,Mass,Lymphocyte,Heterophil,Eosinophil
ABCH,Kenner,7/2/2022,9:55 PM,F,104,73.1,62.9,78.1,238,55,41,4
ABD,Kenner,4/1/2022,8:07 PM,F,102.1,67.1,75.7,58.5,178.5,49,48,3
ABH,Kenner,4/1/2022,8:29 PM,M,90.3,64.8,62.9,56.5,115,31,51,15
ABI,Kenner,4/1/2022,8:41 PM,F,85.8,61.5,68.6,56.2,115,41,40,15
ABJ,Kenner,4/1/2022,9:15 PM,F,101.4,68.6,75.3,60.4,159.5,55,37,2
ABK,Kenner,4/6/2022,9:01 PM,F,104.8,73.3,80.6,62.8,223,35,54,6
ABN,Kenner,4/6/2022,9:26 PM,F,107.6,75.2,80.9,68,201,32,60,8
ABU,Kenner,4/19/2022,9:00 PM,F,98.1,70.8,74.9,62.5,204,31,66,3
ABV,Kenner,5/24/2022,10:49 PM,F,102.2,73.2,75.4,64.8,195,33,55,12
ABW,Kenner,5/24/2022,10:09 PM,M,90.3,64.7,63.2,56.7,131.5,35,42,21
ABX,Kenner,5/24/2022,9:49 PM,M,80,58.5,57.1,51.5,94,27,66,6
ACD,Kenner,7/2/2022,8:54 PM,F,110.7,76.7,82.4,67.9,245,38,60,2
ACI,Kenner,7/2/2022,9:39 PM,F,104.2,74,81.9,66.8,197,36,57,5
ACJ,Kenner,7/14/2022,9:09 PM,F,107.2,75.3,81.8,68.7,212.5,33,59,8
ACK,Kenner,5/1/2023,9:39 PM,F,102.9,71.6,76,63.6,192,30,68,5
ACNP,Kenner,5/18/2022,9:17 PM,F,102.3,71.3,77.4,61.8,206,62,38,0
ACO,Kenner,5/18/2022,8:50 PM,F,104.3,70.8,78,59.7,199,46,39,13
AIK,Kenner,5/15/2023,8:34 PM,F,100.7,70.5,73.2,61,180,55,31,11
AIN,Kenner,5/15/2023,10:04 PM,M,95.7,64.5,64.3,57.6,134,50,46,4
AJI,Kenner,5/15/2023,8:30 PM,F,102.7,71,79.9,63.2,195,66,32,2
AKN,Kenner,5/15/2023,8:51 PM,M,80.3,57.6,57.4,50.5,104,47,49,2
ANO,Kenner,5/24/2022,9:05 PM,F,95.3,65.8,71.5,56,159.5,46,46,8
AOV,Kenner,5/24/2022,8:48 PM,F,111.6,73.3,84.2,66.2,218,33,51,15
BCN,Kenner,5/15/203,9:04 PM,F,105,74.8,76.8,66.1,219,37,51,9
BHNP,Kenner,5/24/2022,9:31 PM,F,108.3,73.9,80.3,64.6,223.5,46,46,7
BNO,Kenner,5/24/2022,10:33 PM,F,98.8,71.8,77.7,59.6,108.5,23,64,13
C--,Kenner,4/6/2022,8:16 PM,M,101.9,63.1,67.2,56,145,40,55,3
CN-,Kenner,7/16/2022,8:56 AM,F,102.5,74.7,79.7,63.6,193.5,56,40,5
N--,Kenner,5/1/2023,9:11 PM,F,95.7,63.4,68.1,56.9,162,39,56,5
